KnowledgeBase.removeTriple;199;368640;;;;
KnowledgeBase.removeTriple;103;0;;;;
KnowledgeBase.removeTriple;151;0;;;;
KnowledgeBase.removeTriple;105;0;;;;
KnowledgeBase.removeTriple;182;0;;;;
KnowledgeBase.removeTriple;103;0;;;;
KnowledgeBase.removeTriple;181;-61440;;;;
KnowledgeBase.removeTriple;102;0;;;;
KnowledgeBase.removeTriple;144;0;;;;
KnowledgeBase.removeTriple;103;0;;;;
KnowledgeBase.removeTriple;153;0;;;;
KnowledgeBase.removeTriple;106;-4096;;;;
KnowledgeBase.removeTriple;105;0;;;;
KnowledgeBase.removeTriple;154;0;;;;
KnowledgeBase.removeTriple;106;0;;;;
KnowledgeBase.removeTriple;107;0;;;;
KnowledgeBase.removeTriple;147;0;;;;
KnowledgeBase.removeTriple;100;0;;;;
KnowledgeBase.removeTriple;168;0;;;;
KnowledgeBase.removeTriple;100;0;;;;
KnowledgeBase.removeTriple;167;-4096;;;;
KnowledgeBase.removeTriple;107;0;;;;
KnowledgeBase.removeTriple;167;0;;;;
KnowledgeBase.removeTriple;103;-4096;;;;
KnowledgeBase.removeTriple;149;0;;;;
KnowledgeBase.removeTriple;152;0;;;;
KnowledgeBase.removeTriple;102;0;;;;
KnowledgeBase.removeTriple;149;0;;;;
KnowledgeBase.removeTriple;150;0;;;;
KnowledgeBase.removeTriple;104;0;;;;
KnowledgeBase.removeTriple;150;0;;;;
KnowledgeBase.removeTriple;152;0;;;;
KnowledgeBase.removeTriple;102;0;;;;
KnowledgeBase.removeTriple;152;0;;;;
KnowledgeBase.removeTriple;108;0;;;;
KnowledgeBase.removeTriple;103;0;;;;
KnowledgeBase.removeTriple;151;0;;;;
KnowledgeBase.removeTriple;98;-4096;;;;
KnowledgeBase.removeTriple;146;-8192;;;;
KnowledgeBase.removeTriple;102;0;;;;
KnowledgeBase.removeTriple;154;0;;;;
KnowledgeBase.removeTriple;101;0;;;;
KnowledgeBase.removeTriple;171;0;;;;
KnowledgeBase.removeTriple;102;0;;;;
KnowledgeBase.removeTriple;150;0;;;;
KnowledgeBase.removeTriple;168;0;;;;
KnowledgeBase.removeTriple;149;0;;;;
KnowledgeBase.removeTriple;148;0;;;;
KnowledgeBase.removeTriple;147;0;;;;
KnowledgeBase.removeTriple;146;0;;;;
KnowledgeBase.removeTriple;145;0;;;;
KnowledgeBase.removeTriple;148;0;;;;
KnowledgeBase.removeTriple;147;0;;;;
KnowledgeBase.removeTriple;147;0;;;;
KnowledgeBase.removeTriple;150;0;;;;
KnowledgeBase.removeTriple;147;0;;;;
KnowledgeBase.removeTriple;105;0;;;;
KnowledgeBase.removeTriple;150;0;;;;
KnowledgeBase.removeTriple;153;0;;;;
KnowledgeBase.removeTriple;101;0;;;;
KnowledgeBase.removeTriple;149;0;;;;
KnowledgeBase.removeTriple;153;0;;;;
KnowledgeBase.removeTriple;100;0;;;;
KnowledgeBase.removeTriple;153;0;;;;
KnowledgeBase.removeTriple;156;0;;;;
KnowledgeBase.removeTriple;100;0;;;;
KnowledgeBase.removeTriple;148;0;;;;
KnowledgeBase.removeTriple;98;0;;;;
KnowledgeBase.removeTriple;186;0;;;;
KnowledgeBase.removeTriple;98;0;;;;
KnowledgeBase.removeTriple;175;0;;;;
KnowledgeBase.removeTriple;99;0;;;;
KnowledgeBase.removeTriple;158;0;;;;
KnowledgeBase.removeTriple;100;0;;;;
KnowledgeBase.removeTriple;115;0;;;;
KnowledgeBase.removeTriple;142;0;;;;
KnowledgeBase.removeTriple;102;0;;;;
KnowledgeBase.removeTriple;158;0;;;;
KnowledgeBase.removeTriple;108;0;;;;
KnowledgeBase.removeTriple;156;491520;;;;
KnowledgeBase.removeTriple;98;0;;;;
KnowledgeBase.removeTriple;151;0;;;;
KnowledgeBase.removeTriple;149;0;;;;
KnowledgeBase.removeTriple;97;0;;;;
KnowledgeBase.removeTriple;149;0;;;;
KnowledgeBase.removeTriple;152;0;;;;
KnowledgeBase.removeTriple;97;0;;;;
KnowledgeBase.removeTriple;152;0;;;;
KnowledgeBase.removeTriple;151;0;;;;
KnowledgeBase.uninitialize;5;0;;;;
KnowledgeBase.uninitialize;5;0;;;;
KnowledgeBase.uninitialize;4;0;;;;
KnowledgeBase.uninitialize;4;0;;;;
KnowledgeBase.uninitialize;4;0;;;;
KnowledgeBase.uninitialize;4;0;;;;
KnowledgeBase.uninitialize;5;0;;;;
KnowledgeBase.uninitialize;4;0;;;;
KnowledgeBase.uninitialize;4;0;;;;
KnowledgeBase.uninitialize;3;0;;;;
PolicyManager.getAllowedModel;412;1011712;;;;
PolicyManager.getAllowedModel;248;380928;;;;
PolicyManager.getAllowedModel;199;0;;;;
PolicyManager.getAllowedModel;227;0;;;;
PolicyManager.getAllowedModel;251;507904;;;;
PolicyManager.getAllowedModel;200;-126976;;;;
PolicyManager.getAllowedModel;197;126976;;;;
PolicyManager.getAllowedModel;201;0;;;;
PolicyManager.getAllowedModel;137;0;;;;
PolicyManager.getAllowedModel;191;0;;;;
PolicyManager.getAllowedModel;179;0;;;;
PolicyManager.getAllowedModel;180;-16384;;;;
PolicyManager.getAllowedModel;178;253952;;;;
PolicyManager.getAllowedModel;182;0;;;;
PolicyManager.getAllowedModel;138;0;;;;
PolicyManager.getAllowedModel;170;4096;;;;
PolicyManager.getAllowedModel;201;-253952;;;;
PolicyManager.getAllowedModel;130;0;;;;
PolicyManager.getAllowedModel;197;0;;;;
PolicyManager.getAllowedModel;164;253952;;;;
PolicyManager.getAllowedModel;179;0;;;;
PolicyManager.getAllowedModel;171;0;;;;
PolicyManager.getAllowedModel;171;0;;;;
PolicyManager.getAllowedModel;184;0;;;;
PolicyManager.getAllowedModel;124;0;;;;
PolicyManager.getAllowedModel;200;0;;;;
PolicyManager.getAllowedModel;128;-8192;;;;
PolicyManager.getAllowedModel;172;0;;;;
PolicyManager.getAllowedModel;206;0;;;;
PolicyManager.getAllowedModel;129;0;;;;
PolicyManager.getAllowedModel;189;0;;;;
PolicyManager.getAllowedModel;195;0;;;;
